"","E0","sim_start","int_start1","int_length2","sd_m1","sd_m2","int_start2","int_length1","beta0est","paramset","iso_start","log_lik","R0_base","R0_int"
"383",7,2020-02-09,2020-03-04,106,0.78662109375,0.239697265625,2020-03-17,13,1.01701277249918,383,2020-07-01,-25.8165346781853,3.17816491405993,0.761797439605478
"384",3,2020-02-23,2020-03-09,76,0.63662109375,0.114697265625,2020-03-17,8,2.11575559336515,384,2020-06-01,-25.0693624941852,6.61173622926609,0.758348066530568
"385",3,2020-01-31,2020-03-06,111,0.77138671875,0.076611328125,2020-03-17,11,1.05079878509615,385,2020-07-06,-28.0920609547117,3.28374620342548,0.251572157869852
"386",7,2020-02-14,2020-03-02,81,0.62138671875,0.201611328125,2020-03-17,15,1.30902825543916,386,2020-06-06,-25.5208060347529,4.09071329824737,0.824734141038251
"387",8,2020-02-07,2020-03-04,96,0.69638671875,0.139111328125,2020-03-17,13,1.00742112304867,387,2020-06-21,-27.0580433025896,3.14819100952708,0.437949032526497
"388",5,2020-02-20,2020-03-09,66,0.84638671875,0.264111328125,2020-03-17,8,1.38045211232722,388,2020-05-22,-24.2127599782627,4.31391285102257,1.13935325249908
"389",6,2020-02-10,2020-03-03,118,0.73388671875,0.295361328125,2020-03-17,14,1.0601520207189,389,2020-07-13,-25.1118663171501,3.31297506474656,0.978524715168551
"390",9,2020-02-24,2020-03-07,88,0.88388671875,0.170361328125,2020-03-17,10,1.57686035334481,390,2020-06-13,-24.6369056299773,4.92768860420252,0.839487575198368
"391",7,2020-02-04,2020-03-10,103,0.80888671875,0.232861328125,2020-03-17,7,0.876835274256691,391,2020-06-28,-26.4510211783835,2.74011023205216,0.638065707844568
"392",4,2020-02-17,2020-03-05,73,0.65888671875,0.107861328125,2020-03-17,12,1.5822457307873,392,2020-05-29,-25.6210551653583,4.94451790871031,0.533322268571342
"393",4,2020-02-05,2020-03-08,84,0.60263671875,0.092236328125,2020-03-17,9,1.05867154067662,393,2020-06-09,-27.764660671316,3.30834856461443,0.305149923757649
"394",8,2020-02-19,2020-03-03,114,0.75263671875,0.217236328125,2020-03-17,14,1.39178565058987,394,2020-07-09,-24.9322626160574,4.34933015809335,0.944832513347526
"395",10,2020-01-30,2020-03-01,69,0.82763671875,0.154736328125,2020-03-17,16,0.782028387386989,395,2020-05-25,-27.845162486348,2.44383871058434,0.378150628605556
"396",6,2020-02-12,2020-03-06,99,0.67763671875,0.279736328125,2020-03-17,11,1.13187266826646,396,2020-06-24,-25.3779820258195,3.53710208833268,0.989455950393454
"397",5,2020-02-02,2020-03-05,77,0.86513671875,0.248486328125,2020-03-17,12,0.895622987005425,397,2020-06-02,-26.6619707345848,2.79882183439195,0.695468960704133
"398",9,2020-02-15,2020-03-09,107,0.71513671875,0.123486328125,2020-03-17,8,1.19029025793831,398,2020-07-02,-26.1758192861614,3.71965705605723,0.459326791736755
"399",7,2020-02-09,2020-03-07,62,0.64013671875,0.185986328125,2020-03-17,10,1.05056745242889,399,2020-05-18,-26.2822986265442,3.28302328884028,0.610597446640264
"400",4,2020-02-22,2020-03-02,92,0.79013671875,0.060986328125,2020-03-17,15,2.0069350452109,400,2020-06-17,-25.6617245200694,6.27167201628406,0.38248624747748
"401",4,2020-02-10,2020-03-04,105,0.85576171875,0.115673828125,2020-03-17,13,1.19115190539872,401,2020-06-30,-26.4388888186362,3.72234970437101,0.430578439924557
"402",7,2020-02-23,2020-03-08,75,0.70576171875,0.240673828125,2020-03-17,9,1.59155048540342,402,2020-05-31,-24.0706775291398,4.97359526688569,1.19701421242576
"403",9,2020-02-03,2020-03-06,120,0.63076171875,0.053173828125,2020-03-17,11,0.901625627364032,403,2020-07-15,-28.7025892645485,2.8175800855126,0.14982151919547
"404",6,2020-02-16,2020-03-01,90,0.78076171875,0.178173828125,2020-03-17,16,1.33836632633445,404,2020-06-15,-25.4811529838773,4.18239476979514,0.745193286864379
"405",6,2020-01-30,2020-03-09,97,0.66826171875,0.209423828125,2020-03-17,8,0.855691832819798,405,2020-06-22,-27.49692680089,2.67403697756187,0.560007060388811
"406",10,2020-02-13,2020-03-05,67,0.81826171875,0.084423828125,2020-03-17,12,1.06946418892968,406,2020-05-23,-26.4743450746909,3.34207559040524,0.28215081522513
"407",8,2020-02-06,2020-03-03,112,0.89326171875,0.271923828125,2020-03-17,14,0.889677573883943,407,2020-07-07,-25.9388945087275,2.78024241838732,0.756014161523389
"408",5,2020-02-20,2020-03-07,82,0.74326171875,0.146923828125,2020-03-17,10,1.58737167048997,408,2020-06-07,-25.3297243084929,4.96053647028117,0.728821007767384
"409",4,2020-02-04,2020-03-02,64,0.68701171875,0.162548828125,2020-03-17,15,1.09710550604941,409,2020-05-20,-27.0252117397245,3.42845470640439,0.557291294805675
"410",8,2020-02-18,2020-03-07,94,0.83701171875,0.287548828125,2020-03-17,10,1.2278358746176,410,2020-06-19,-24.6721972792315,3.83698710817999,1.10332114648789
"411",9,2020-02-11,2020-03-09,79,0.76201171875,0.100048828125,2020-03-17,8,1.00121104685382,411,2020-06-04,-26.8246522491851,3.12878452141818,0.313031224823528
"412",6,2020-02-25,2020-03-04,109,0.61201171875,0.225048828125,2020-03-17,13,2.04741140469408,412,2020-07-04,-24.1097334378025,6.39816063966901,1.43989855411301
"413",5,2020-02-08,2020-03-08,71,0.79951171875,0.193798828125,2020-03-17,9,1.01919419398098,413,2020-05-27,-26.2259992731663,3.18498185619057,0.61724575132912
"414",9,2020-02-21,2020-03-03,101,0.64951171875,0.068798828125,2020-03-17,14,1.71848688611018,414,2020-06-26,-25.9256845611748,5.37027151909432,0.369468387226753
"415",7,2020-02-01,2020-03-05,86,0.72451171875,0.256298828125,2020-03-17,12,0.88101565989055,415,2020-06-11,-26.8739162751842,2.75317393715797,0.705635253717879
"416",3,2020-02-15,2020-03-10,116,0.87451171875,0.131298828125,2020-03-17,7,1.36510393334721,416,2020-07-11,-25.7697188351128,4.26594979171002,0.560114208491614
"417",3,2020-02-07,2020-03-01,76,0.64482421875,0.236767578125,2020-03-17,16,1.27582393053733,417,2020-06-01,-25.8345048281922,3.98694978292916,0.943980444210132
"418",7,2020-02-20,2020-03-06,106,0.79482421875,0.111767578125,2020-03-17,11,1.53249842058367,418,2020-07-01,-25.3844178939922,4.78905756432396,0.535261365465701
"419",9,2020-01-31,2020-03-08,61,0.86982421875,0.299267578125,2020-03-17,9,0.793576549105871,419,2020-05-17,-26.5718038432963,2.47992671595585,0.742161662211591
"420",5,2020-02-13,2020-03-04,91,0.71982421875,0.174267578125,2020-03-17,13,1.26093574955328,420,2020-06-16,-25.8534976509729,3.940424217354,0.686688185143381
"421",6,2020-02-03,2020-03-07,83,0.83232421875,0.143017578125,2020-03-17,10,0.908813422361431,421,2020-06-08,-27.0568442499203,2.84004194487947,0.406175920730077
